Municipio,Nombre,2022,2023,2024,2025,2026
Puerto Vallarta,Constructora Montes S. de R.L.,1737472.56,11806198.54,1200410.52,13965218.21,390493.61
Casimiro Castillo,Inversiones Flores,14532742.42,5297269.69,8107699.93,12090211.34,5627773.27
Etzatlan,Soluciones Rios S. de R.L.,11986751.52,10131372.1,13556712.11,8322700.9,9142640.31
Villa Guerrero,Comercializadora Gutierrez S.A. de C.V.,445238.13,495292.98,,12132778.12,
Yahualica de Gonzalez Gallo,Distribuidora Delgado,5395515.39,,6686339.19,7278167.83,14466931.39
Atemajac de Brizuela,Inversiones Vega S.A.,3705179.88,6409307.7,14995289.85,1084113.75,13680438.3
Tonala,Inversiones Hernandez S. de R.L.,,4625502.37,1552412.0,3868431.77,
Jocotepec,Industrias Jimenez,,4710672.46,14085147.17,6187577.21,4650271.1
Canadas de Obregon,Grupo Nunez,1099601.15,6884486.65,3592803.91,7766029.68,12981244.72
La Barca,Comercializadora Aguilar S.A.,10174206.07,944684.92,4561704.58,11399787.31,7772893.2
Tototlan,Distribuidora Castillo S.R.L. de C.V.,,,12147133.48,9312456.08,14510666.8
Etzatlan,Constructora Uribe S.A. de C.V.,5857964.28,11454416.32,4477572.44,3835116.02,7097451.94
Ojuelos de Jalisco,Inversiones Lara S.R.L. de C.V.,9558349.35,14121736.06,8530731.5,792657.29,8989764.2
San Miguel el Alto,Empresa Uribe S.A. de C.V.,,8862892.06,12625964.77,1494030.5,680077.51
Guadalajara,Inversiones Ortega S.A. de C.V.,7063802.77,12322464.76,5397232.29,,
Mazamitla,Distribuidora Aguilar S. de R.L.,8560899.59,13787559.81,,4336290.66,9529231.39
Zapopan,Grupo Ibarra S.A. de C.V.,14993779.61,9390717.63,11445704.62,2750867.38,10140165.65
Mascota,Servicios Martinez S.R.L. de C.V.,5577589.08,4189987.02,4957278.46,4485967.88,1340666.29
Mascota,Empresa Medina S. de R.L.,13894548.52,2068173.09,7370683.02,2682065.11,8534551.09
La Huerta,Servicios Morales S. de R.L.,699332.91,361940.98,6640383.69,12800674.37,1814483.56
Zapopan,Inversiones Ramirez,10961234.33,1581844.84,11394547.69,1389679.82,1862452.79
Hostotipaquillo,Grupo Vargas S.C.,,,,13111603.99,9611748.1
Zapotlan de Juarez,Soluciones Medina,,5703350.74,4774291.37,11954178.16,12907026.55
Zapopan,Servicios Diaz S.A. de C.V.,,11334825.6,12135646.74,10318896.0,10315312.27
Tepic,Comercializadora Mendoza S.A.,12964774.58,10151198.77,7596242.7,5584034.84,11781803.3
La Manzanilla de la Paz,Corporativo Lopez S.C.,681618.24,,9963680.48,,9926168.48
Jamay,Distribuidora Ramos,7254773.54,13052339.04,6391661.81,6540925.56,9094767.82
Tuxcacuesco,Soluciones Gutierrez S.A.,9535883.98,728903.21,5264474.31,1320371.68,2791320.76
Ciudad Guzman,Constructora Lara S.A. de C.V.,10666591.96,4559025.66,6764824.0,2302238.81,
Encarnacion de Diaz,Empresa Gomez S.C.,2858240.9,2045803.0,3228717.92,766910.14,14402272.14
Santa Maria de los Angeles,Corporativo Ochoa S.C.,10394563.36,12394040.64,13170491.53,2764522.12,1563551.44
Bolanos,Soluciones Ortega S.C.,1283057.86,2666941.24,8115596.49,13981498.9,7793225.31
Yahualica de Gonzalez Gallo,Empresa Perez S.C.,8258715.69,3061119.7,13017088.79,8556514.7,3353358.18
Unión de San Antonio,Industrias Lara S.R.L. de C.V.,13948851.27,11575131.68,4689712.5,5360476.97,14284588.2
Huejuquilla el Alto,Grupo Quintero S.A. de C.V.,7787783.95,10478861.0,9446905.37,14427620.9,12560091.69
Ocotlan,Soluciones Martinez S. de R.L.,9135014.74,1332490.43,11658921.0,3295183.9,1379463.26
Hostotipaquillo,Servicios Gutierrez S.A.,6905220.67,5464007.82,4121439.68,7544284.2,1241169.12
Cihuatlan,Corporativo Soto S.A. de C.V.,2422258.2,9146975.29,5308679.86,3253492.79,4905105.89
San Juanito de Escobedo,Servicios Lopez S.A. de C.V.,8082372.11,2660417.76,,7385544.59,7459593.34
Zapotiltic,Inversiones Vega S.C.,1875377.27,,11381170.21,1249282.21,8720137.93
Puerto Vallarta,Grupo Medina S.A.,5035567.11,5077071.96,6195742.14,12075391.52,10174298.86
Zapopan,Corporativo Lara S.A.,13455780.72,10698017.06,2840158.08,3771222.68,4624612.93
La Barca,Inversiones Pena S. de R.L.,,2085350.8,8839192.28,2790226.61,
Teocuitatlan de Corona,Soluciones Lara S. de R.L.,11123433.5,,11820940.91,5610281.16,5324137.12
San Juan de los Lagos,Servicios Uribe,4626877.25,9146563.06,9110469.23,9557391.73,5856544.01
Tecolotlan,Grupo Medina S.A. de C.V.,9532988.67,11523387.37,2471485.16,8712190.34,175654.06
San Miguel el Alto,Inversiones Delgado S. de R.L.,1620350.81,14523584.79,11937135.69,,5186012.35
La Manzanilla de la Paz,Constructora Jimenez S.C.,2442361.31,3134177.61,7658387.12,7539508.32,7769158.03
Canadas de Obregon,Constructora Diaz S.A.,7767948.22,,12098336.0,12544516.0,8193822.02
Huejucar,Empresa Lara S.A.,13246263.41,13576080.2,8458644.52,1235942.66,11584611.37
Etzatlan,Soluciones Medina S.A. de C.V.,,5979376.4,861488.25,8897607.95,1531984.14
Cabo Corrientes,Soluciones Perez S. de R.L.,13813549.95,4211024.26,6806401.15,6458263.43,
Chapala,Soluciones Lopez,,4900413.83,2051690.94,11624105.27,
Juanacatlan,Inversiones Rivera S.A.,2040525.61,14778150.44,4932601.16,14481797.82,
Ayutla,Corporativo Ortega S.C.,6653302.53,8231643.55,8580606.45,4044769.86,8174195.69
Tequila,Industrias Gomez S.R.L. de C.V.,9908939.32,14923917.24,7491773.94,13535221.43,11818570.06
El Limon,Comercializadora Uribe S.A. de C.V.,14269291.69,6036073.6,8223341.75,5464505.42,7684754.62
Tala,Empresa Ybarra S. de R.L.,6605594.48,10970316.92,11034729.06,3323229.46,501398.7
Mascota,Constructora Jimenez S.C.,12527399.8,9811146.78,7283457.81,4663825.33,14340711.08
Magdalena,Inversiones Lopez S.A.,9778997.9,11710635.79,10344911.19,,12804557.0
Jesus Maria,Distribuidora Ortega S.C.,3478158.57,6337731.26,,8712388.3,480780.63
Ayutla,Servicios Gutierrez S. de R.L.,6911623.74,14667034.37,11558019.1,12006544.65,13256640.86
Zacoalco de Torres,Servicios Medina S. de R.L.,4678434.02,14430389.95,1193579.16,6259851.65,11711549.04
Mezquitic,Grupo Nunez,275100.02,2841201.52,10476382.83,,4526712.83
Hostotipaquillo,Servicios Nunez S.A. de C.V.,1054448.87,10721201.12,13038490.17,11505630.82,8366289.99
Huejuquilla el Alto,Constructora Medina,4653063.62,,5510703.08,1031492.13,10454156.69
Tamazula de Gordiano,Corporativo Diaz S.A. de C.V.,,7180798.9,14123485.68,7928884.76,
Ameca,Distribuidora Aguilar S. de R.L.,863169.79,,2795478.91,6887469.32,
Jocotepec,Inversiones Soto S.A. de C.V.,11713016.54,10234760.47,4270368.77,513083.97,
Autlan de Navarro,Comercializadora Lara S.A.,3784582.94,4636160.13,6755863.45,1628209.09,
Puerto Vallarta,Corporativo Hernandez S.R.L. de C.V.,7705034.85,4322509.6,4976694.42,,3644110.02
Arandas,Corporativo Zepeda S.A. de C.V.,2535351.22,13653580.02,9098728.98,1086893.26,13945078.91
Mascota,Inversiones Lara S. de R.L.,1005329.18,5167670.77,4305957.43,2737871.52,9364773.15
Lagos de Moreno,Distribuidora Ramirez S.A. de C.V.,4929734.7,12635358.48,1039035.07,1666730.82,14838436.86
Tlaquepaque,Inversiones Flores S.R.L. de C.V.,,9205174.59,13027610.09,2342147.4,6899906.88
Lagos de Moreno,Servicios Montes S.C.,5314916.58,11491701.68,2192203.97,6671392.88,4316725.24
Santa Maria de los Angeles,Industrias Lara S.A. de C.V.,7497562.24,10012628.61,1554938.05,333723.33,486071.63
Tamazula de Gordiano,Comercializadora Mendoza S.A. de C.V.,9269320.51,12091308.18,1444350.0,11328581.43,10547282.6
Cabo Corrientes,Corporativo Rivera S.C.,14172331.66,8942838.31,5053297.09,14276465.79,5160544.52
Atemajac de Brizuela,Grupo Hernandez S.A. de C.V.,2504560.28,2146159.07,5191334.61,14840972.13,1446241.25
Ayotlan,Grupo Uribe S.R.L. de C.V.,10801205.94,,14221253.84,1480029.09,1216610.9
Tizapan el Alto,Soluciones Vargas S. de R.L.,9517600.81,11765369.9,6800221.57,4828831.72,14646995.34
Ayotlan,Constructora Gutierrez S. de R.L.,9626745.92,14148657.11,13220387.63,14455186.4,12759816.64
Magdalena,Servicios Quintero S.A.,,1938790.62,,12698301.99,5883141.94
Tuxcacuesco,Inversiones Montes S. de R.L.,5867482.92,902188.84,7019336.88,5643248.25,714179.65
Tamazula de Gordiano,Empresa Gomez,465923.0,13319945.72,,11722869.83,12658730.84
La Barca,Empresa Morales S.A. de C.V.,7697380.69,11613315.58,1497464.74,1227822.87,8893150.91
Zapotlan del Rey,Empresa Lopez S.R.L. de C.V.,8688413.13,1451101.77,11188007.21,3756854.33,
Jilotlan de los Dolores,Distribuidora Montes S.C.,11067058.08,2543149.55,73394.61,4800492.46,10629900.1
Ayotlan,Servicios Delgado S.C.,13799588.01,5264834.03,3256323.87,10149456.44,4609102.15
San Miguel el Alto,Comercializadora Ramos S.A. de C.V.,11244693.04,7963957.38,,6347078.61,1026911.71
Zapopan,Corporativo Lara S.R.L. de C.V.,9442978.35,9179242.37,10912026.49,11342212.41,13327889.2
Unión de San Antonio,Industrias Lara,,7695247.35,4606974.38,10508111.49,10275162.2
Ameca,Soluciones Torres S. de R.L.,11639536.43,,6474576.52,8093019.11,6588722.38
Valle de Guadalupe,Distribuidora Pena S. de R.L.,8182149.71,4903298.89,427501.05,13212491.64,5697777.54
La Manzanilla de la Paz,Industrias Valdez,2486343.08,9538605.2,1682267.1,,5616880.77
Tonaya,Empresa Uribe S.R.L. de C.V.,10216420.2,5837656.96,9292346.62,1377116.78,
Tizapan el Alto,Soluciones Vega S.A. de C.V.,9557804.39,,4931955.23,11576498.81,3478219.99
Zapotiltic,Industrias Sandoval S. de R.L.,12579918.51,9382319.82,11428221.46,4477189.49,10146749.45
Zapotlan del Rey,Distribuidora Vega S.C.,6582031.39,,722774.42,9209472.17,
San Cristobal de la Barranca,Industrias Hernandez,787662.22,,9499585.2,14500799.86,2906960.53
Mascota,Inversiones Reyes S.A.,,6368815.27,8016580.12,6261294.29,2707066.38
Sayula,Grupo Nunez,5775328.97,,8234028.78,11097740.83,
San Martin de Bolanos,Grupo Lopez,,5588486.38,14786653.06,6581083.21,8263804.76
Ixtlahuacan de los Membrillos,Soluciones Vargas S. de R.L.,11783212.37,,2208321.17,12186723.57,11251154.55
Santa Maria de los Angeles,Empresa Quintero S.R.L. de C.V.,4294923.08,7732418.27,8472648.68,7528298.72,1965334.28
Arandas,Distribuidora Soto S. de R.L.,4249593.18,3135792.88,14123114.83,6708651.11,12380307.25
Jamay,Servicios Soto,13837736.83,6437285.03,,828210.99,14313796.73
Tala,Soluciones Fuentes S.R.L. de C.V.,,2595294.27,10893911.58,13581529.64,1086882.9
Tizapan el Alto,Constructora Reyes S.A.,12598246.38,7201959.6,,6474131.69,3821968.12
Tonaya,Grupo Ortega S.R.L. de C.V.,14215106.03,14958021.72,,12627253.57,13015643.43
Santa Maria de los Angeles,Comercializadora Ochoa S.A. de C.V.,7566329.35,10372635.83,9345954.42,7746799.2,8742279.92
Chapala,Corporativo Soto S.A. de C.V.,12052967.79,8398532.97,9772282.37,1518156.57,14558851.84
Sayula,Constructora Perez S.C.,13141932.76,140652.99,4111995.28,1323843.68,6656069.29
Tonala,Inversiones Mendoza S.R.L. de C.V.,8124649.41,11584724.86,2928002.51,10913592.89,6994484.29
Sayula,Distribuidora Flores S.R.L. de C.V.,6966699.2,14315353.94,11570023.84,2732926.94,1408415.62
Tototlan,Constructora Torres,6192531.32,,10150702.17,6573621.33,2549948.74
Valle de Guadalupe,Constructora Reyes S.A. de C.V.,13514015.03,12287871.75,119052.48,4407406.64,7511403.2
Chapala,Inversiones Delgado S. de R.L.,1060307.71,,2617068.78,10985455.92,
Ixtlahuacan de los Membrillos,Grupo Vargas S.R.L. de C.V.,3760916.61,6960464.8,8747150.29,9469399.37,7717902.93
Valle de Guadalupe,Servicios Rios S.A.,8812374.14,9715214.89,,9225266.55,9572909.8
Mazamitla,Corporativo Ramos S.C.,7246505.26,12759666.74,14185466.02,10759534.35,14759627.68
Jocotepec,Distribuidora Cervantes S. de R.L.,7934643.92,14744051.5,2512906.81,,2544781.46
Magdalena,Soluciones Cruz S.A. de C.V.,4043958.28,3545404.96,6459366.28,13738012.41,4966108.36
Hostotipaquillo,Industrias Zepeda S.A.,6599927.29,,8707657.63,4894614.16,11490053.44
Zapopan,Constructora Cervantes S.C.,2821215.04,598798.34,2629857.29,3114221.57,9589299.54
Unión de San Antonio,Inversiones Valdez S. de R.L.,14132702.8,8326963.74,10046572.4,5605118.49,2806914.45
Ojuelos de Jalisco,Servicios Flores S.A. de C.V.,,12769335.45,2910943.43,1939099.13,5872995.64
San Martin de Bolanos,Servicios Gutierrez S.R.L. de C.V.,,3448475.75,,393666.05,6294180.9
Villa Corona,Grupo Medina,6643536.91,3022949.2,10834852.25,7688097.07,13514244.47
Encarnacion de Diaz,Distribuidora Ramirez S.R.L. de C.V.,4087211.1,10139776.76,6187330.5,6592349.43,8394932.47
San Diego de Alejandria,Corporativo Montes S.R.L. de C.V.,2026802.13,13148401.22,6073252.89,6942083.79,9726188.59
Teocaltiche,Grupo Ramos S.A.,9320641.13,,14833727.51,2054162.22,12112356.28
Huejucar,Servicios Ibarra S. de R.L.,7243588.74,,13583591.28,2844514.54,1753470.81
Lagos de Moreno,Corporativo Nunez S.R.L. de C.V.,8158836.46,10919970.35,2153262.44,11575342.77,
Hostotipaquillo,Industrias Gomez S.A. de C.V.,6571962.37,400353.08,2992044.66,4538249.3,7723964.82
Tlajomulco de Zuniga,Servicios Flores S.A. de C.V.,8554423.17,11638316.53,9488783.29,11119940.7,8997020.65
Ayutla,Industrias Uribe,3653422.45,12109359.61,884753.68,223478.49,9765942.42
Cihuatlan,Distribuidora Ramirez,252940.53,12976936.88,2383752.5,2194952.51,4875600.3
Tototlan,Grupo Quintero,6478367.21,4726273.41,,176348.96,5244180.05
Tamazula de Gordiano,Grupo Montes S. de R.L.,2533878.91,10930840.04,,5468505.83,9322681.85
Santa Maria de los Angeles,Corporativo Rivera,3215714.4,9968163.83,9134287.2,13804215.17,13588156.45
Casimiro Castillo,Grupo Torres S.A. de C.V.,10283007.03,4495416.65,13732559.44,6036378.95,763314.61
Villa Purificacion,Industrias Ortega,2295494.03,9014089.68,4272184.42,7075002.21,11549701.53
Tonala,Distribuidora Jimenez S.R.L. de C.V.,,8655961.98,5007154.83,6041614.7,1336302.31
Cocula,Servicios Zepeda S.C.,12301677.85,8432007.42,14239095.12,14615426.33,2088055.34
Tapalpa,Distribuidora Pena S.A. de C.V.,686723.33,9933455.11,10809809.22,,
El Limon,Industrias Lopez S.R.L. de C.V.,137072.78,14212091.43,,,12904491.2
Magdalena,Distribuidora Cervantes S.A.,3759741.61,8246904.97,5154493.34,,7316068.13
Arandas,Empresa Diaz S.A. de C.V.,8528070.31,4159844.82,14552339.88,5191900.52,3894093.85
Encarnacion de Diaz,Servicios Vega S.C.,776616.58,10435416.59,5542109.08,427420.0,
La Barca,Empresa Castillo S.C.,14540036.2,8870634.21,14074194.4,13583210.03,
Chapala,Soluciones Reyes S.A.,13927583.57,14346621.75,7124023.5,1072200.15,14239664.9
Tlaquepaque,Inversiones Medina S.A. de C.V.,7760650.31,9337885.53,4956843.59,12608984.4,270662.31
Tlaquepaque,Empresa Ybarra S.R.L. de C.V.,12046490.68,9820391.73,9940045.08,,9180764.65
Degollado,Soluciones Hernandez S.R.L. de C.V.,,7450782.93,1919776.87,,1338166.83
El Grullo,Soluciones Tapia S.A. de C.V.,11622518.39,,4764138.19,,
Ixtlahuacan de los Membrillos,Comercializadora Ibarra S.A.,8846764.75,701997.92,6351970.09,5861900.05,13565779.96
Mazamitla,Distribuidora Cervantes S.A. de C.V.,13973326.53,3535785.44,10538886.72,9126692.51,9642622.46
Ameca,Inversiones Torres,9845711.45,1546177.95,5832871.03,14220674.24,9290815.86
Atemajac de Brizuela,Constructora Diaz S. de R.L.,3323884.49,5959311.82,10888979.07,2847821.34,6293808.23
Tecolotlan,Servicios Lopez S.A.,2900886.32,,11609716.32,9113370.17,8347483.35
Zapotlan de Juarez,Comercializadora Flores S. de R.L.,,,10684574.53,11408885.78,6060833.76
Cocula,Comercializadora Delgado S.A. de C.V.,10954398.6,2884200.39,6583130.23,5444630.54,2437621.64
Ixtlahuacan del Rio,Grupo Cervantes S.C.,9486145.12,8999489.18,8432057.14,4826241.03,3444727.44
San Juanito de Escobedo,Industrias Reyes,5191208.22,13220635.86,9809907.26,10140126.63,5365482.75
Mixtlan,Industrias Fuentes,4105367.64,8475667.41,10496806.61,2312196.45,
Tepic,Comercializadora Ramirez S. de R.L.,10266861.84,4462516.18,10330503.94,6151244.27,9490462.79
Zacoalco de Torres,Inversiones Hernandez,,9804018.53,10786154.8,990563.06,625051.53
El Arenal,Corporativo Vega S.R.L. de C.V.,,5143309.77,2516117.58,10468636.62,9294658.63
Ixtlahuacan del Rio,Servicios Lara S.C.,6792927.37,6468928.27,14874830.22,4661191.08,8495022.92
Cocula,Inversiones Quintero S.C.,1695663.38,9454416.38,14762388.2,4462740.0,
Techaluta de Montenegro,Grupo Vega,12532706.52,10040271.51,11814063.58,1874695.15,
Ojuelos de Jalisco,Servicios Ochoa,14802075.87,4504658.37,2894233.37,13718984.0,14893750.17
Tonala,Grupo Aguilar S.C.,10195711.25,13327117.52,6315096.31,5841868.15,3207136.24
Zapotlan de Juarez,Grupo Vega S.R.L. de C.V.,1715295.43,,10442027.09,2098766.87,4725749.49
Ixtlahuacan del Rio,Comercializadora Lopez S.R.L. de C.V.,3364221.99,9768658.88,,9054827.53,
San Juanito de Escobedo,Grupo Zepeda,,311088.47,3497885.5,3290292.98,3367197.6
Villa Purificacion,Industrias Ramos S.A. de C.V.,4181337.0,13463994.9,9806023.96,5892188.29,5916325.26
Tuxcueca,Servicios Aguilar S.A. de C.V.,13356325.03,,5876598.09,14501261.86,7381458.18
Tecalitlan,Inversiones Flores S.C.,10025302.31,3275043.49,9039292.08,11055245.45,3055116.45
Jilotlan de los Dolores,Distribuidora Rios S.C.,5017006.15,11835468.38,,5338690.48,12049845.81
Tlajomulco de Zuniga,Comercializadora Vega S.A.,8045577.51,6733899.23,14851670.08,,12173169.95
Mezquitic,Grupo Reyes,6182266.87,5863095.11,3955404.69,8803182.18,8055549.11
Toliman,Inversiones Rivera S.A.,,13684956.69,14691463.04,11812826.99,12707221.81
Huejucar,Constructora Flores S.A. de C.V.,,9155032.89,,8854188.27,
Ixtlahuacan del Rio,Grupo Delgado S.C.,,9853758.98,3276027.53,7051819.57,10028086.75
San Cristobal de la Barranca,Inversiones Lopez S.R.L. de C.V.,13366968.6,3670783.45,10573939.2,4938813.1,14897401.5
Villa Corona,Soluciones Jimenez S.R.L. de C.V.,5661408.75,527919.66,14193619.87,14555834.15,12195073.08
Mascota,Industrias Ybarra S.A. de C.V.,10368849.43,4228713.66,253907.06,8349568.84,6304461.94
La Barca,Soluciones Castillo S. de R.L.,6174534.62,14386913.77,2592405.43,1367944.18,3690939.01
Puerto Vallarta,Empresa Valdez S.R.L. de C.V.,10587287.6,6464360.69,3394707.57,9465111.64,1695450.07
Tapalpa,Comercializadora Mendoza S.A.,7987389.46,6728135.85,4209222.23,14078033.47,9291958.97
Tuxcacuesco,Industrias Jimenez S. de R.L.,,3977841.07,3111713.44,9175318.46,1822291.65
Ayotlan,Distribuidora Quintero,7046936.56,,3805308.33,6229236.24,
Juanacatlan,Comercializadora Lopez S.R.L. de C.V.,4041971.75,11305156.21,4173842.37,8676241.62,537172.87
Tototlan,Grupo Ybarra S.A.,11624385.03,3744906.04,1601253.73,11402983.58,13957404.55
Tuxcueca,Empresa Quintero S. de R.L.,,13336495.93,,10102918.0,14274769.16
Etzatlan,Constructora Pena S.A. de C.V.,8677255.45,,4324456.09,2256093.87,3483364.83
El Limon,Servicios Soto S.A.,12947412.8,5701828.51,3432511.62,6961549.32,7307022.11
El Salto,Corporativo Montes,2717050.22,1281340.4,7068541.93,,1019170.85
El Arenal,Soluciones Ybarra,,5364140.57,12677106.18,13156727.41,11646649.53
Yahualica de Gonzalez Gallo,Constructora Sandoval,,7517976.09,4938357.06,8281464.52,1727704.94
Tala,Distribuidora Tapia S.A. de C.V.,10423454.6,,3071599.55,1975342.68,11922314.46
Lagos de Moreno,Constructora Montes S.C.,12051826.81,10698827.92,,324914.21,
Magdalena,Servicios Delgado S.A.,5962989.23,9963252.61,7738229.75,11721918.73,5096514.65
Unión de San Antonio,Empresa Rivera S.R.L. de C.V.,8446189.64,7961849.8,8062461.47,12927814.95,
San Cristobal de la Barranca,Corporativo Aguilar S.R.L. de C.V.,13292964.38,11554422.55,6066408.79,8691486.96,11761733.55
Yahualica de Gonzalez Gallo,Comercializadora Medina,10571538.18,103175.91,5346299.25,2074633.64,
Unión de San Antonio,Constructora Mendoza S.C.,1051070.81,4653139.39,8638292.48,2755844.46,7794445.72
Encarnacion de Diaz,Distribuidora Ybarra S.A.,2440183.53,4383466.55,8436370.44,8496554.28,2659196.86
Zapotlan de Juarez,Distribuidora Castillo S.R.L. de C.V.,9309954.61,4522058.67,4011170.02,5318986.31,
San Cristobal de la Barranca,Comercializadora Ochoa S.A. de C.V.,13659857.12,2987561.19,11800698.6,9415039.65,8052923.16
Teocaltiche,Corporativo Soto S. de R.L.,13669933.57,3768643.46,12350075.43,,2671382.58
El Grullo,Empresa Lopez S.C.,8262624.39,6522522.49,,915826.48,
Techaluta de Montenegro,Soluciones Delgado,135152.33,7921926.22,9607146.33,10077492.3,12499355.27
Tecalitlan,Industrias Valdez S.A.,6967915.74,12082025.17,6438516.64,6361215.63,1830620.1
El Arenal,Grupo Valdez S.A.,10172007.52,11288305.03,13856623.42,13115569.14,9006832.96
Zapotlan del Rey,Inversiones Hernandez,2226862.37,7326194.09,8079611.58,1531403.97,2614126.68
Tepic,Distribuidora Sandoval S.A.,7209787.29,5438016.29,5673656.29,13063970.31,5693994.05
Villa Purificacion,Industrias Pena S. de R.L.,4074553.43,10501893.53,9903338.93,13560505.89,11133172.67
Mixtlan,Empresa Jimenez S. de R.L.,11618365.88,12547452.21,,10142078.18,
Tapalpa,Comercializadora Pena S.A. de C.V.,2534068.37,13387532.53,1375847.95,4135682.92,7754575.01
Techaluta de Montenegro,Inversiones Montes S.R.L. de C.V.,8003050.27,11061084.66,,7591572.4,3696685.08
Magdalena,Grupo Vargas S. de R.L.,7789196.19,9536127.2,,9951654.42,67866.47
Tototlan,Inversiones Morales S. de R.L.,1297642.78,9320141.71,9963110.26,13379106.62,8441386.63
Hostotipaquillo,Industrias Medina S. de R.L.,11733194.68,,6007434.13,9828502.63,2147701.94
Tepic,Industrias Ramirez S.C.,14404556.69,2957556.58,5184931.51,,4740452.99
La Huerta,Corporativo Lara S.R.L. de C.V.,,6879176.45,2415674.46,6161875.17,12854556.96
Zapotlan de Juarez,Distribuidora Ochoa S.A. de C.V.,1795426.52,8726118.83,,12958783.94,7277187.6
Teocuitatlan de Corona,Grupo Lara S.A.,909063.55,535388.33,12260594.1,7550693.29,9937637.53
Acatic,Corporativo Rios S.R.L. de C.V.,3808701.2,14251043.08,5150906.35,6177392.1,8701396.62
Huejucar,Grupo Montes S.C.,,9409774.99,,2618037.56,13493060.42
Bolanos,Industrias Reyes S.A. de C.V.,7453394.29,13654239.05,13789474.22,272497.26,9960514.81
Ojuelos de Jalisco,Inversiones Montes S.A.,14763496.59,9005134.92,13570996.75,6374546.89,8270380.27
Tecolotlan,Comercializadora Martinez S.A. de C.V.,2694184.02,65149.88,3061009.75,5553925.26,12924774.58
Tototlan,Empresa Cervantes S.R.L. de C.V.,,10065597.8,13467085.78,12467233.87,
Toliman,Empresa Lara S.C.,4415216.59,4630146.57,1720853.4,9321164.9,535506.17
Ciudad Guzman,Comercializadora Uribe S.A.,10200626.59,,8920447.06,8300093.55,6814859.79
Ojuelos de Jalisco,Inversiones Ramos S.A.,7401980.95,3234849.79,10369590.68,13023451.25,1343858.65
Tonala,Soluciones Montes S.R.L. de C.V.,1132722.84,1874363.98,4912540.44,13667983.81,14703194.62
Ixtlahuacan del Rio,Distribuidora Martinez,9658945.22,,8250295.15,8745840.28,3746766.51
Ayotlan,Comercializadora Perez S.A. de C.V.,5968530.86,8752359.27,,14532679.86,4763862.75
Tepatitlan de Morelos,Comercializadora Vargas S.R.L. de C.V.,13784944.68,3109112.33,12964803.49,6893347.25,14963554.32
Mascota,Inversiones Diaz S. de R.L.,2605309.02,13463395.84,6120708.86,9469292.11,3980553.47
San Juan de los Lagos,Distribuidora Quintero S.A. de C.V.,812379.44,1550454.41,4621881.76,625719.75,
Bolanos,Distribuidora Ramos S.C.,6907130.38,12412795.83,2220352.34,5141615.95,7711200.75
Etzatlan,Industrias Quintero S.A. de C.V.,,9755453.88,2007002.99,7751586.28,10477693.69
Tuxcueca,Inversiones Uribe S. de R.L.,10431408.75,6603868.04,6347635.57,,9913741.33
Teocuitatlan de Corona,Soluciones Lopez S.R.L. de C.V.,13515560.75,3044897.35,6190098.28,7445019.19,14468080.77
Jesus Maria,Soluciones Cruz S.C.,1198913.91,14509770.59,941534.03,7276748.74,4061283.65
Cabo Corrientes,Distribuidora Lopez S.C.,,4555384.61,3672656.56,14721360.76,3748293.38
Mixtlan,Industrias Perez S.A. de C.V.,12785070.41,12596470.14,9950587.94,12763192.12,
Villa Hidalgo,Constructora Reyes S.A. de C.V.,,13268512.38,12976622.49,13840611.63,4102446.42
Valle de Guadalupe,Empresa Uribe S.C.,10145563.74,363607.86,12418100.23,7432056.16,13399824.97
El Salto,Soluciones Zepeda S.R.L. de C.V.,,13077490.29,10981564.57,6462729.15,6347737.07
Jamay,Soluciones Zepeda S.R.L. de C.V.,,10928844.58,13251666.52,11174605.86,4003572.04
La Manzanilla de la Paz,Industrias Perez S.C.,11059464.06,431222.09,7514392.56,12432288.37,8644811.19
Ameca,Distribuidora Montes S.R.L. de C.V.,10417167.55,7533368.33,3646102.19,10603884.86,1699575.37
Villa Guerrero,Empresa Torres S.R.L. de C.V.,5894146.0,6140371.86,,9076529.51,4901153.1
Mezquitic,Industrias Sandoval S.A. de C.V.,11891371.62,2482510.22,858294.81,3942906.45,12885995.09
Atemajac de Brizuela,Empresa Uribe S. de R.L.,9972930.47,,14733852.48,1955779.8,11461386.14
Tizapan el Alto,Empresa Cruz S.C.,13041928.38,3283343.76,,10624970.27,12648955.2
Juanacatlan,Constructora Delgado S. de R.L.,238791.9,2288697.94,3785544.93,12675518.07,2635391.82
Ayutla,Industrias Flores S.A.,5515066.28,13350325.38,9966049.1,1188288.64,11402127.45
Jesus Maria,Soluciones Torres S.C.,3251365.77,9601735.47,4431718.93,5076879.08,
Tuxcacuesco,Inversiones Ybarra S.C.,9728229.11,5772251.04,6084192.75,6377767.04,12772030.07
Tlaquepaque,Industrias Rios S.C.,5610208.98,11645744.39,14120537.55,12395051.7,9989668.92
Casimiro Castillo,Constructora Cruz S.C.,8484407.78,3728892.5,13355032.7,4786148.67,3299564.01
Lagos de Moreno,Empresa Torres S. de R.L.,11065228.5,,8605360.03,,5295751.76
Encarnacion de Diaz,Comercializadora Reyes S.C.,14148611.27,2127975.46,5721826.27,8766169.03,3450841.74
Tuxcacuesco,Comercializadora Fuentes S.A. de C.V.,,2012532.41,,179170.33,5552594.43
